	HGNC_ID	Gene_symbol	gene_long_name	category_sources	category	Source	Source_Date	Download_Date
0	HGNC:23487	IDI2	ISOPENTENYL-DIPHOSPHATE DELTA ISOMERASE 2	GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
1	HGNC:13831	WDR11	WD REPEAT DOMAIN 11	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
2	HGNC:7212	KIF20B	KINESIN FAMILY MEMBER 20B	Pharos	ENZYME	DGIdb	20210101	20210909
3	HGNC:10675	SDF2	STROMAL CELL DERIVED FACTOR 2	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
4	HGNC:24576	CDT1	CHROMATIN LICENSING AND DNA REPLICATION FACTOR 1	Pharos	KINASE	DGIdb	20210101	20210909
5	HGNC:6277	KCNK2	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2	Pharos,GuideToPharmacology,BaderLabGenes	ION CHANNEL	DGIdb	20210101	20210909
6	HGNC:6277	KCNK2	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
7	HGNC:6277	KCNK2	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2	GO	CELL SURFACE	DGIdb	20210101	20210909
8	HGNC:100	ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	Pharos	KINASE	DGIdb	20210101	20210909
9	HGNC:100	ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	Pharos,GuideToPharmacology,HopkinsGroom	ION CHANNEL	DGIdb	20210101	20210909
10	HGNC:100	ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
11	HGNC:100	ASIC1	ACID SENSING ION CHANNEL SUBUNIT 1	GO	CELL SURFACE	DGIdb	20210101	20210909
12	HGNC:8981	PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
13	HGNC:8981	PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	dGene,Pharos	KINASE	DGIdb	20210101	20210909
14	HGNC:8981	PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	dGene	PHOSPHATIDYLINOSITOL 3 KINASE	DGIdb	20210101	20210909
15	HGNC:8981	PIK3R3	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3	MskImpact	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
16	HGNC:23380	OBP2A	ODORANT BINDING PROTEIN 2A	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
17	HGNC:227	ADARB2	ADENOSINE DEAMINASE, RNA SPECIFIC B2 (INACTIVE)	Pharos	ENZYME	DGIdb	20210101	20210909
18	HGNC:3222	EFNA2	EPHRIN A2	Pharos	KINASE	DGIdb	20210101	20210909
19	HGNC:14656	DSCAML1	DS CELL ADHESION MOLECULE LIKE 1	GO	CELL SURFACE	DGIdb	20210101	20210909
20	HGNC:9980	RFPL3	RET FINGER PROTEIN LIKE 3	HopkinsGroom	DRUGGABLE GENOME	DGIdb	20210101	20210909
21	HGNC:9980	RFPL3	RET FINGER PROTEIN LIKE 3	HopkinsGroom	B30_2 SPRY DOMAIN	DGIdb	20210101	20210909
22	HGNC:13821	GFRA4	GDNF FAMILY RECEPTOR ALPHA 4	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
23	HGNC:13821	GFRA4	GDNF FAMILY RECEPTOR ALPHA 4	Pharos	KINASE	DGIdb	20210101	20210909
24	HGNC:13821	GFRA4	GDNF FAMILY RECEPTOR ALPHA 4	GO	EXTERNAL SIDE OF PLASMA MEMBRANE	DGIdb	20210101	20210909
25	HGNC:4683	GUCA2B	GUANYLATE CYCLASE ACTIVATOR 2B	Pharos	ENZYME	DGIdb	20210101	20210909
26	HGNC:4683	GUCA2B	GUANYLATE CYCLASE ACTIVATOR 2B	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
27	HGNC:16085	SFXN1	SIDEROFLEXIN 1	GuideToPharmacology	TRANSPORTER	DGIdb	20210101	20210909
28	HGNC:4789	HIST1H4B	HISTONE CLUSTER 1 H4 FAMILY MEMBER B	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
29	HGNC:4789	HIST1H4B	HISTONE CLUSTER 1 H4 FAMILY MEMBER B	MskImpact	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
30	HGNC:7458	MT-ND3	NADH DEHYDROGENASE, SUBUNIT 3 (COMPLEX I)	Pharos,HumanProteinAtlas	ENZYME	DGIdb	20210101	20210909
31	HGNC:6642	LMO2	LIM DOMAIN ONLY 2	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
32	HGNC:6642	LMO2	LIM DOMAIN ONLY 2	GO	TRANSCRIPTION FACTOR COMPLEX	DGIdb	20210101	20210909
33	HGNC:11036	SLC5A1	SOLUTE CARRIER FAMILY 5 MEMBER 1	RussLampel,HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
34	HGNC:11036	SLC5A1	SOLUTE CARRIER FAMILY 5 MEMBER 1	Pharos,HumanProteinAtlas,GuideToPharmacology	TRANSPORTER	DGIdb	20210101	20210909
35	HGNC:11036	SLC5A1	SOLUTE CARRIER FAMILY 5 MEMBER 1	GO	EXTERNAL SIDE OF PLASMA MEMBRANE	DGIdb	20210101	20210909
