	DrugBank_ID	Accession_Numbers	Common_name	Synonyms	Source	Source_Date	Download_Date
0	DB00001	BIOD00024 | BTD00024	Lepirudin	Hirudin variant-1 | Lepirudin recombinant	DrugBank	20210103	20210909
1	DB00002	BIOD00071 | BTD00071	Cetuximab	Cetuximab | Cétuximab | Cetuximabum	DrugBank	20210103	20210909
2	DB00003	BIOD00001 | BTD00001	Dornase alfa	Deoxyribonuclease (human clone 18-1 protein moiety) | Dornasa alfa | Dornase alfa, recombinant | Dornase alpha | Recombinant deoxyribonuclease (DNAse)	DrugBank	20210103	20210909
3	DB00004	BIOD00084 | BTD00084	Denileukin diftitox	Denileukin | Interleukin-2/diptheria toxin fusion protein	DrugBank	20210103	20210909
4	DB00005	BIOD00052 | BTD00052	Etanercept	Etanercept | etanercept-szzs | etanercept-ykro | Recombinant human TNF | rhu TNFR:Fc | rhu-TNFR:Fc | TNFR-Immunoadhesin	DrugBank	20210103	20210909
5	DB00006	BIOD00076 | BTD00076 | DB02351 | EXPT03302	Bivalirudin	Bivalirudin | Bivalirudina | Bivalirudinum	DrugBank	20210103	20210909
6	DB00007	BIOD00009 | BTD00009	Leuprolide	Leuprorelin | Leuprorelina | Leuproreline | Leuprorelinum	DrugBank	20210103	20210909
7	DB00008	BIOD00043 | BTD00043	Peginterferon alfa-2a	PEG-IFN alfa-2A | PEG-Interferon alfa-2A | Peginterferon alfa-2a | Pegylated Interfeaon alfa-2A | Pegylated interferon alfa-2a | Pegylated interferon alpha-2a | Pegylated-interferon alfa 2a	DrugBank	20210103	20210909
8	DB00009	BIOD00050 | BTD00050	Alteplase	Alteplasa | Alteplase (genetical recombination) | Alteplase, recombinant | Alteplase,recombinant | Plasminogen activator (human tissue-type protein moiety) | rt-PA | t-PA | t-plasminogen activator | Tissue plasminogen activator | Tissue plasminogen activator alteplase | Tissue plasminogen activator, recombinant | tPA	DrugBank	20210103	20210909
9	DB00010	BIOD00033 | BTD00033	Sermorelin		DrugBank	20210103	20210909
10	DB00011	BIOD00096 | BTD00096 | DB00084	Interferon alfa-n1	Interferon alpha-n1 (INS)	DrugBank	20210103	20210909
11	DB00012	BIOD00032 | BTD00032	Darbepoetin alfa	Darbepoetin | Darbepoetin alfa,recombinant | Darbepoetina alfa	DrugBank	20210103	20210909
12	DB00013	BIOD00030 | BTD00030	Urokinase	Kinase (enzyme-activating), uro-urokinase | TCUK | Tissue culture urokinase | Two-chain urokinase | Urochinasi | Urokinase | Urokinasum | Uroquinasa	DrugBank	20210103	20210909
13	DB00014	BIOD00113 | BTD00113	Goserelin	Goserelin | Goserelina	DrugBank	20210103	20210909
14	DB00015	BIOD00013 | BTD00013	Reteplase	Human t-PA (residues 1-3 and 176-527) | Reteplasa | Reteplase, recombinant | Reteplase,recombinant	DrugBank	20210103	20210909
15	DB00016	BIOD00103 | BTD00103 | DB08923	Erythropoietin	E.P.O. | Epoetin alfa | Epoetin alfa rDNA | Epoetin alfa-epbx | Epoetin alfa, recombinant | Epoetin beta | Epoetin beta rDNA | Epoetin epsilon | Epoetin gamma | Epoetin gamma rDNA | Epoetin kappa | Epoetin omega | Epoetin theta | Epoetin zeta | Epoetina alfa | Epoetina beta | Epoetina dseta | Epoetina zeta | Epoétine zêta | Epoetinum zeta | Erythropoiesis stimulating factor | Erythropoietin (human, recombinant) | Erythropoietin (recombinant human) | ESF | SH-polypeptide-72	DrugBank	20210103	20210909
16	DB00017	BIOD00025 | BTD00025	Salmon calcitonin	Calcitonin (Salmon Synthetic) | Calcitonin salmon | Calcitonin salmon recombinant | Calcitonin-salmon | Calcitonin, salmon | Calcitonina salmón sintética | Recombinant salmon calcitonin | Salmon calcitonin	DrugBank	20210103	20210909
17	DB00018	BIOD00023 | BTD00023	Interferon alfa-n3		DrugBank	20210103	20210909
18	DB00019	BIOD00094 | BTD00094	Pegfilgrastim	Granulocyte colony-stimulating factor pegfilgrastim | peg-filgrastim | pegfilgrastim-apgf | pegfilgrastim-bmez | pegfilgrastim-cbqv | pegfilgrastim-jmdb	DrugBank	20210103	20210909
19	DB00020	BIOD00035 | BTD00035	Sargramostim	Recombinant human granulocyte-macrophage colony stimulating factor | rGM-CSF | rHu GM-CSF | Sargramostim	DrugBank	20210103	20210909
20	DB00022	BIOD00048 | BTD00048	Peginterferon alfa-2b		DrugBank	20210103	20210909
21	DB00023	BIOD00011 | BTD00011	Asparaginase Escherichia coli	Asparaginase | Asparaginase (E. coli) | Colaspase | Escherichia coli L-asparaginase | L-asparaginase | L-asparagine amidohydrolase	DrugBank	20210103	20210909
22	DB00024	BIOD00020 | BTD00020	Thyrotropin alfa	Recombinant Human Thyroid Stimulating Hormone | Recombinant thyrotropin alfa | rhTSH | rTSH | Thyrotropin alpha	DrugBank	20210103	20210909
