HGNC_ID	Gene_symbol	Previous_symbol
HGNC:37133	A1BG-AS1	NCRNA00181
HGNC:37133	A1BG-AS1	A1BGAS
HGNC:37133	A1BG-AS1	A1BG-AS
HGNC:23336	A2ML1	CPAMD9
HGNC:8	A2MP1	A2MP
HGNC:30005	A3GALT2	A3GALT2P
HGNC:18149	A4GALT	P1
HGNC:18226	AACSP1	AACSL
HGNC:30205	AAMDC	C11orf67
HGNC:15886	AAR2	C20orf4
HGNC:33842	AARD	C8orf85
HGNC:20	AARS1	AARS
HGNC:49894	AARS1P1	AARSP1
HGNC:21022	AARS2	AARSL
HGNC:29	ABCA1	ABC1
HGNC:29	ABCA1	HDLDT1
HGNC:32	ABCA2	ABC2
HGNC:33	ABCA3	ABC3
HGNC:34	ABCA4	STGD1
HGNC:34	ABCA4	ABCR
HGNC:34	ABCA4	RP19
HGNC:34	ABCA4	STGD
HGNC:31	ABCA11P	ABCA11
HGNC:14637	ABCA12	ICR2B
HGNC:40	ABCB1	PGY1
HGNC:40	ABCB1	MDR1
HGNC:40	ABCB1	CLCS
HGNC:45	ABCB4	PGY3
HGNC:45	ABCB4	MDR3
HGNC:48	ABCB7	ABC7
HGNC:14114	ABCB10P1	ABCB10P
HGNC:14114	ABCB10P1	ABCB10P2
HGNC:42	ABCB11	BSEP
HGNC:42	ABCB11	PFIC2
HGNC:51	ABCC1	MRP
HGNC:51	ABCC1	MRP1
HGNC:53	ABCC2	CMOAT
HGNC:57	ABCC6	ARA
HGNC:57	ABCC6	PXE
HGNC:59	ABCC8	SUR
HGNC:59	ABCC8	HRINS
HGNC:61	ABCD1	ALD
HGNC:66	ABCD2	ALDL1
HGNC:67	ABCD3	PXMP1
HGNC:68	ABCD4	PXMP1L
HGNC:69	ABCE1	RNASEL1
HGNC:69	ABCE1	RNASELI
HGNC:69	ABCE1	RNS4I
HGNC:70	ABCF1	ABC50
HGNC:16407	ABHD11	WBSCR21
HGNC:18289	ABHD11-AS1	WBSCR26
HGNC:18289	ABHD11-AS1	LINC00035
HGNC:15868	ABHD12	C20orf22
HGNC:19837	ABHD12B	C14orf29
HGNC:20293	ABHD13	C13orf6
HGNC:13921	ABHD16A	BAT5
HGNC:16128	ABHD16B	C20orf135
HGNC:28756	ABHD17A	C19orf27
HGNC:28756	ABHD17A	FAM108A1
HGNC:28394	ABHD17AP1	FAM108A2
HGNC:28394	ABHD17AP1	ABHD17AP2
HGNC:28394	ABHD17AP1	FAM108A3
HGNC:28394	ABHD17AP1	FAM108A11P
HGNC:28394	ABHD17AP1	FAM108A3P
HGNC:34041	ABHD17AP3	FAM108A4
HGNC:34041	ABHD17AP3	FAM108A4P
HGNC:34042	ABHD17AP4	FAM108A5
HGNC:34042	ABHD17AP4	FAM108A5P
HGNC:34043	ABHD17AP5	FAM108A6
HGNC:34043	ABHD17AP5	FAM108A6P
HGNC:34044	ABHD17AP6	FAM108A7P
HGNC:38508	ABHD17AP7	FAM108A8P
HGNC:38509	ABHD17AP8	FAM108A9P
HGNC:38510	ABHD17AP9	FAM108A10P
HGNC:24278	ABHD17B	C9orf77
HGNC:24278	ABHD17B	FAM108B1
HGNC:26925	ABHD17C	FAM108C1
HGNC:26111	ABHD18	C4orf29
HGNC:11320	ABI1	SSH3BP1
HGNC:20035	ABI1P1	SSH3BP1P
HGNC:20035	ABI1P1	ABI1P
HGNC:1364	ABITRAM	C9orf6
HGNC:1364	ABITRAM	FAM206A
HGNC:39851	ABITRAMP1	FAM206BP
HGNC:76	ABL1	ABL
HGNC:77	ABL2	ABLL
HGNC:78	ABLIM1	LIMAB1
HGNC:78	ABLIM1	ABLIM
HGNC:21230	ABRACL	C6orf115
HGNC:25829	ABRAXAS1	CCDC98
HGNC:25829	ABRAXAS1	FAM175A
HGNC:28975	ABRAXAS2	KIAA0157
HGNC:28975	ABRAXAS2	FAM175B
HGNC:84	ACACA	ACAC
HGNC:84	ACACA	ACC
HGNC:319	ACAN	MSK16
HGNC:319	ACAN	CSPG1
HGNC:319	ACAN	AGC1
HGNC:16467	ACAP1	CENTB1
HGNC:16469	ACAP2	CENTB2
HGNC:16754	ACAP3	CENTB5
HGNC:93	ACAT1	ACAT
HGNC:15453	ACBD3	GOLPH1
HGNC:15453	ACBD3	GOCAP1
HGNC:2707	ACE	DCP1
HGNC:18356	ACER1	ASAH3
HGNC:23675	ACER2	ASAH3L
HGNC:16066	ACER3	PHCA
HGNC:108	ACHE	YT
HGNC:17066	ACIN1	ACINUS
HGNC:4035	ACKR1	FY
HGNC:4035	ACKR1	DARC
HGNC:1565	ACKR2	CMKBR9
HGNC:1565	ACKR2	CCBP2
HGNC:23692	ACKR3	CMKOR1
HGNC:23692	ACKR3	CXCR7
HGNC:1611	ACKR4	CCRL1
HGNC:21142	ACKR4P1	CCRL1P
HGNC:21142	ACKR4P1	CCRL1P1
HGNC:34504	ACNATP	BAATP1
HGNC:117	ACO1	IREB1
HGNC:33904	ACOD1	IRG1
HGNC:33159	ACOT6	C14orf42
HGNC:15919	ACOT8	PTE1
HGNC:18156	ACOT11	THEA
HGNC:20999	ACOT13	THEM2
HGNC:125	ACP3	ACPP
HGNC:14376	ACP4	ACPT
HGNC:3569	ACSL1	FACL2
HGNC:3570	ACSL3	FACL3
HGNC:3571	ACSL4	FACL4
HGNC:3571	ACSL4	MRX63
HGNC:3571	ACSL4	MRX68
HGNC:16526	ACSL5	FACL5
HGNC:16496	ACSL6	FACL6
