	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
0	HGNC:24086	A1CF	mRNA processing	HPA	20210914	20210914
1	HGNC:18149	A4GALT	Lipid biosynthesis	HPA	20210914	20210914
2	HGNC:18149	A4GALT	Lipid metabolism	HPA	20210914	20210914
3	HGNC:13666	AAAS	mRNA transport	HPA	20210914	20210914
4	HGNC:13666	AAAS	Protein transport	HPA	20210914	20210914
5	HGNC:13666	AAAS	Translocation	HPA	20210914	20210914
6	HGNC:13666	AAAS	Transport	HPA	20210914	20210914
7	HGNC:21298	AACS	Fatty acid metabolism	HPA	20210914	20210914
8	HGNC:21298	AACS	Lipid metabolism	HPA	20210914	20210914
9	HGNC:25662	AAGAB	Protein transport	HPA	20210914	20210914
10	HGNC:25662	AAGAB	Transport	HPA	20210914	20210914
11	HGNC:19679	AAK1	Endocytosis	HPA	20210914	20210914
12	HGNC:18	AAMP	Angiogenesis	HPA	20210914	20210914
13	HGNC:18	AAMP	Differentiation	HPA	20210914	20210914
14	HGNC:19	AANAT	Biological rhythms	HPA	20210914	20210914
15	HGNC:19	AANAT	Melatonin biosynthesis	HPA	20210914	20210914
16	HGNC:15886	AAR2	mRNA processing	HPA	20210914	20210914
17	HGNC:15886	AAR2	mRNA splicing	HPA	20210914	20210914
18	HGNC:20	AARS	Protein biosynthesis	HPA	20210914	20210914
19	HGNC:21022	AARS2	Protein biosynthesis	HPA	20210914	20210914
20	HGNC:28417	AARSD1	Protein biosynthesis	HPA	20210914	20210914
21	HGNC:23993	AASDH	Fatty acid metabolism	HPA	20210914	20210914
22	HGNC:23993	AASDH	Lipid metabolism	HPA	20210914	20210914
23	HGNC:23	ABAT	Neurotransmitter degradation	HPA	20210914	20210914
24	HGNC:29	ABCA1	Cholesterol metabolism	HPA	20210914	20210914
25	HGNC:29	ABCA1	Lipid metabolism	HPA	20210914	20210914
26	HGNC:29	ABCA1	Steroid metabolism	HPA	20210914	20210914
27	HGNC:29	ABCA1	Sterol metabolism	HPA	20210914	20210914
28	HGNC:29	ABCA1	Transport	HPA	20210914	20210914
29	HGNC:30	ABCA10	Transport	HPA	20210914	20210914
30	HGNC:14637	ABCA12	Transport	HPA	20210914	20210914
31	HGNC:32	ABCA2	Transport	HPA	20210914	20210914
32	HGNC:33	ABCA3	Transport	HPA	20210914	20210914
33	HGNC:34	ABCA4	Sensory transduction	HPA	20210914	20210914
34	HGNC:34	ABCA4	Transport	HPA	20210914	20210914
35	HGNC:34	ABCA4	Vision	HPA	20210914	20210914
36	HGNC:35	ABCA5	Transport	HPA	20210914	20210914
37	HGNC:36	ABCA6	Transport	HPA	20210914	20210914
38	HGNC:37	ABCA7	Phagocytosis	HPA	20210914	20210914
39	HGNC:37	ABCA7	Transport	HPA	20210914	20210914
40	HGNC:38	ABCA8	Transport	HPA	20210914	20210914
41	HGNC:39	ABCA9	Transport	HPA	20210914	20210914
42	HGNC:40	ABCB1	Transport	HPA	20210914	20210914
43	HGNC:41	ABCB10	Transport	HPA	20210914	20210914
44	HGNC:42	ABCB11	Transport	HPA	20210914	20210914
45	HGNC:45	ABCB4	Lipid transport	HPA	20210914	20210914
46	HGNC:45	ABCB4	Transport	HPA	20210914	20210914
47	HGNC:46	ABCB5	Differentiation	HPA	20210914	20210914
48	HGNC:46	ABCB5	Transport	HPA	20210914	20210914
49	HGNC:47	ABCB6	Transport	HPA	20210914	20210914
50	HGNC:48	ABCB7	Transport	HPA	20210914	20210914
51	HGNC:49	ABCB8	Ion transport	HPA	20210914	20210914
52	HGNC:49	ABCB8	Potassium transport	HPA	20210914	20210914
53	HGNC:49	ABCB8	Transport	HPA	20210914	20210914
54	HGNC:50	ABCB9	Peptide transport	HPA	20210914	20210914
55	HGNC:50	ABCB9	Protein transport	HPA	20210914	20210914
56	HGNC:50	ABCB9	Transport	HPA	20210914	20210914
57	HGNC:51	ABCC1	Transport	HPA	20210914	20210914
58	HGNC:52	ABCC10	Transport	HPA	20210914	20210914
59	HGNC:14639	ABCC11	Transport	HPA	20210914	20210914
60	HGNC:14640	ABCC12	Transport	HPA	20210914	20210914
61	HGNC:53	ABCC2	Transport	HPA	20210914	20210914
62	HGNC:54	ABCC3	Transport	HPA	20210914	20210914
63	HGNC:55	ABCC4	Transport	HPA	20210914	20210914
64	HGNC:56	ABCC5	Transport	HPA	20210914	20210914
65	HGNC:57	ABCC6	Sensory transduction	HPA	20210914	20210914
66	HGNC:57	ABCC6	Transport	HPA	20210914	20210914
67	HGNC:57	ABCC6	Vision	HPA	20210914	20210914
68	HGNC:59	ABCC8	Transport	HPA	20210914	20210914
69	HGNC:60	ABCC9	Transport	HPA	20210914	20210914
70	HGNC:61	ABCD1	Transport	HPA	20210914	20210914
71	HGNC:66	ABCD2	Transport	HPA	20210914	20210914
72	HGNC:67	ABCD3	Transport	HPA	20210914	20210914
73	HGNC:68	ABCD4	Transport	HPA	20210914	20210914
74	HGNC:69	ABCE1	Host-virus interaction	HPA	20210914	20210914
75	HGNC:72	ABCF3	Antiviral defense	HPA	20210914	20210914
76	HGNC:73	ABCG1	Lipid transport	HPA	20210914	20210914
