	HGNC_ID	Gene_symbol	Molecular_function	Source	Source_Date	Download_Date
0	HGNC:24086	A1CF	RNA-binding	HPA	20210914	20210914
1	HGNC:7	A2M	Protease inhibitor	HPA	20210914	20210914
2	HGNC:7	A2M	Serine protease inhibitor	HPA	20210914	20210914
3	HGNC:23336	A2ML1	Protease inhibitor	HPA	20210914	20210914
4	HGNC:23336	A2ML1	Serine protease inhibitor	HPA	20210914	20210914
5	HGNC:30005	A3GALT2	Glycosyltransferase	HPA	20210914	20210914
6	HGNC:30005	A3GALT2	Transferase	HPA	20210914	20210914
7	HGNC:18149	A4GALT	Glycosyltransferase	HPA	20210914	20210914
8	HGNC:18149	A4GALT	Transferase	HPA	20210914	20210914
9	HGNC:17968	A4GNT	Glycosyltransferase	HPA	20210914	20210914
10	HGNC:17968	A4GNT	Transferase	HPA	20210914	20210914
11	HGNC:21298	AACS	Ligase	HPA	20210914	20210914
12	HGNC:17	AADAC	Hydrolase	HPA	20210914	20210914
13	HGNC:24427	AADACL2	Hydrolase	HPA	20210914	20210914
14	HGNC:32037	AADACL3	Hydrolase	HPA	20210914	20210914
15	HGNC:32038	AADACL4	Hydrolase	HPA	20210914	20210914
16	HGNC:17929	AADAT	Aminotransferase	HPA	20210914	20210914
17	HGNC:17929	AADAT	Transferase	HPA	20210914	20210914
18	HGNC:19679	AAK1	Kinase	HPA	20210914	20210914
19	HGNC:19679	AAK1	Serine/threonine-protein kinase	HPA	20210914	20210914
20	HGNC:19679	AAK1	Transferase	HPA	20210914	20210914
21	HGNC:18	AAMP	Developmental protein	HPA	20210914	20210914
22	HGNC:19	AANAT	Acyltransferase	HPA	20210914	20210914
23	HGNC:19	AANAT	Transferase	HPA	20210914	20210914
24	HGNC:20	AARS	Aminoacyl-tRNA synthetase	HPA	20210914	20210914
25	HGNC:20	AARS	Ligase	HPA	20210914	20210914
26	HGNC:20	AARS	RNA-binding	HPA	20210914	20210914
27	HGNC:20	AARS	tRNA-binding	HPA	20210914	20210914
28	HGNC:21022	AARS2	Aminoacyl-tRNA synthetase	HPA	20210914	20210914
29	HGNC:21022	AARS2	Ligase	HPA	20210914	20210914
30	HGNC:21022	AARS2	RNA-binding	HPA	20210914	20210914
31	HGNC:21022	AARS2	tRNA-binding	HPA	20210914	20210914
32	HGNC:23993	AASDH	Ligase	HPA	20210914	20210914
33	HGNC:14235	AASDHPPT	Transferase	HPA	20210914	20210914
34	HGNC:17366	AASS	Multifunctional enzyme	HPA	20210914	20210914
35	HGNC:17366	AASS	Oxidoreductase	HPA	20210914	20210914
36	HGNC:21	AATK	Kinase	HPA	20210914	20210914
37	HGNC:21	AATK	Serine/threonine-protein kinase	HPA	20210914	20210914
38	HGNC:21	AATK	Transferase	HPA	20210914	20210914
39	HGNC:23	ABAT	Aminotransferase	HPA	20210914	20210914
40	HGNC:23	ABAT	Transferase	HPA	20210914	20210914
41	HGNC:29	ABCA1	Translocase	HPA	20210914	20210914
42	HGNC:34	ABCA4	Translocase	HPA	20210914	20210914
43	HGNC:37	ABCA7	Translocase	HPA	20210914	20210914
44	HGNC:40	ABCB1	Translocase	HPA	20210914	20210914
45	HGNC:42	ABCB11	Translocase	HPA	20210914	20210914
46	HGNC:45	ABCB4	Translocase	HPA	20210914	20210914
47	HGNC:51	ABCC1	Hydrolase	HPA	20210914	20210914
48	HGNC:51	ABCC1	Translocase	HPA	20210914	20210914
49	HGNC:53	ABCC2	Translocase	HPA	20210914	20210914
50	HGNC:59	ABCC8	Receptor	HPA	20210914	20210914
51	HGNC:60	ABCC9	Receptor	HPA	20210914	20210914
52	HGNC:61	ABCD1	Translocase	HPA	20210914	20210914
53	HGNC:69	ABCE1	Chaperone	HPA	20210914	20210914
54	HGNC:70	ABCF1	Activator	HPA	20210914	20210914
55	HGNC:73	ABCG1	Translocase	HPA	20210914	20210914
56	HGNC:74	ABCG2	Translocase	HPA	20210914	20210914
57	HGNC:13886	ABCG5	Translocase	HPA	20210914	20210914
58	HGNC:13887	ABCG8	Translocase	HPA	20210914	20210914
59	HGNC:17553	ABHD1	Hydrolase	HPA	20210914	20210914
60	HGNC:17553	ABHD1	Serine esterase	HPA	20210914	20210914
61	HGNC:25656	ABHD10	Hydrolase	HPA	20210914	20210914
62	HGNC:16407	ABHD11	Hydrolase	HPA	20210914	20210914
