	HGNC_ID	Ensembl	Gene_symbol	Source	Source_Date	Download_Date
0	HGNC:10908	ENSG00000110911	SLC11A2	HPA	20210914	20210914
1	HGNC:10963	ENSG00000175003	SLC22A1	HPA	20210914	20210914
2	HGNC:10987	ENSG00000100372	SLC25A17	HPA	20210914	20210914
3	HGNC:14472	ENSG00000225697	SLC26A6	HPA	20210914	20210914
4	HGNC:25582	ENSG00000103042	SLC38A7	HPA	20210914	20210914
5	HGNC:633	ENSG00000240583	AQP1	HPA	20210914	20210914
6	HGNC:10942	ENSG00000115902	SLC1A4	HPA	20210914	20210914
7	HGNC:11060	ENSG00000003989	SLC7A2	HPA	20210914	20210914
8	HGNC:10966	ENSG00000112499	SLC22A2	HPA	20210914	20210914
9	HGNC:643	ENSG00000103569	AQP9	HPA	20210914	20210914
10	HGNC:10980	ENSG00000183048	SLC25A10	HPA	20210914	20210914
11	HGNC:20116	ENSG00000197119	SLC25A29	HPA	20210914	20210914
12	HGNC:9359	ENSG00000170615	SLC26A5	HPA	20210914	20210914
13		ENSG00000262660	AC139530.2	HPA	20210914	20210914
14	HGNC:1884	ENSG00000001626	CFTR	HPA	20210914	20210914
15	HGNC:10968	ENSG00000197208	SLC22A4	HPA	20210914	20210914
16	HGNC:3018	ENSG00000091138	SLC26A3	HPA	20210914	20210914
17	HGNC:8818	ENSG00000091137	SLC26A4	HPA	20210914	20210914
18	HGNC:11061	ENSG00000165349	SLC7A3	HPA	20210914	20210914
19	HGNC:51	ENSG00000103222	ABCC1	HPA	20210914	20210914
20	HGNC:24272	ENSG00000149577	SIDT2	HPA	20210914	20210914
21	HGNC:10931	ENSG00000124564	SLC17A3	HPA	20210914	20210914
22	HGNC:14467	ENSG00000147606	SLC26A7	HPA	20210914	20210914
23	HGNC:14468	ENSG00000112053	SLC26A8	HPA	20210914	20210914
24	HGNC:18761	ENSG00000123643	SLC36A1	HPA	20210914	20210914
25	HGNC:11066	ENSG00000092068	SLC7A8	HPA	20210914	20210914
26	HGNC:12339	ENSG00000142185	TRPM2	HPA	20210914	20210914
27	HGNC:53	ENSG00000023839	ABCC2	HPA	20210914	20210914
28	HGNC:54	ENSG00000108846	ABCC3	HPA	20210914	20210914
29	HGNC:19174	ENSG00000140931	CMTM3	HPA	20210914	20210914
30	HGNC:10939	ENSG00000106688	SLC1A1	HPA	20210914	20210914
31	HGNC:10967	ENSG00000146477	SLC22A3	HPA	20210914	20210914
32	HGNC:10969	ENSG00000197375	SLC22A5	HPA	20210914	20210914
33	HGNC:10974	ENSG00000170482	SLC23A1	HPA	20210914	20210914
34	HGNC:10993	ENSG00000145217	SLC26A1	HPA	20210914	20210914
35	HGNC:14471	ENSG00000181045	SLC26A11	HPA	20210914	20210914
36	HGNC:10994	ENSG00000155850	SLC26A2	HPA	20210914	20210914
37	HGNC:14469	ENSG00000174502	SLC26A9	HPA	20210914	20210914
38	HGNC:18044	ENSG00000188338	SLC38A3	HPA	20210914	20210914
39	HGNC:20858	ENSG00000104635	SLC39A14	HPA	20210914	20210914
40	HGNC:20329	ENSG00000150403	TMCO3	HPA	20210914	20210914
41	HGNC:21384	ENSG00000137210	TMEM14B	HPA	20210914	20210914
42	HGNC:25240	ENSG00000177119	ANO6	HPA	20210914	20210914
43	HGNC:1395	ENSG00000196557	CACNA1H	HPA	20210914	20210914
44	HGNC:19082	ENSG00000102452	NALCN	HPA	20210914	20210914
45	HGNC:7728	ENSG00000049759	NEDD4L	HPA	20210914	20210914
46	HGNC:26001	ENSG00000040487	PQLC2	HPA	20210914	20210914
47	HGNC:10928	ENSG00000118596	SLC16A7	HPA	20210914	20210914
48	HGNC:10941	ENSG00000079215	SLC1A3	HPA	20210914	20210914
49	HGNC:20302	ENSG00000004809	SLC22A16	HPA	20210914	20210914
50	HGNC:14470	ENSG00000135502	SLC26A10	HPA	20210914	20210914
51	HGNC:11005	ENSG00000117394	SLC2A1	HPA	20210914	20210914
52	HGNC:11006	ENSG00000163581	SLC2A2	HPA	20210914	20210914
53	HGNC:13812	ENSG00000136856	SLC2A8	HPA	20210914	20210914
54	HGNC:20584	ENSG00000205060	SLC35B4	HPA	20210914	20210914
55	HGNC:18762	ENSG00000186335	SLC36A2	HPA	20210914	20210914
56	HGNC:19659	ENSG00000186334	SLC36A3	HPA	20210914	20210914
57	HGNC:18021	ENSG00000141524	TMC6	HPA	20210914	20210914
58	HGNC:20474	ENSG00000167895	TMC8	HPA	20210914	20210914
59	HGNC:24239	ENSG00000133069	TMCC2	HPA	20210914	20210914
60	HGNC:18188	ENSG00000143183	TMCO1	HPA	20210914	20210914
61	HGNC:21697	ENSG00000189077	TMEM120A	HPA	20210914	20210914
62	HGNC:11876	ENSG00000184012	TMPRSS2	HPA	20210914	20210914
63	HGNC:14908	ENSG00000166682	TMPRSS5	HPA	20210914	20210914
64	HGNC:46	ENSG00000004846	ABCB5	HPA	20210914	20210914
