	HGNC_ID	Gene_symbol	Gene synonym	Ensembl	Protein class	Disease involvement	Source	Source_Date	Download_Date
0	HGNC:5	A1BG		ENSG00000121410	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		HPA	20210914	20210914
1	HGNC:24086	A1CF	ACF, ACF64, ACF65, APOBEC1CF, ASP	ENSG00000148584	Predicted intracellular proteins		HPA	20210914	20210914
2	HGNC:7	A2M	CPAMD5, FWP007, S863-7	ENSG00000175899	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Cancer-related genes	HPA	20210914	20210914
3	HGNC:23336	A2ML1	CPAMD9, FLJ25179, p170	ENSG00000166535	Predicted intracellular proteins, Predicted secreted proteins		HPA	20210914	20210914
4	HGNC:30005	A3GALT2	A3GALT2P, IGB3S, IGBS3S	ENSG00000184389	Enzymes, Predicted membrane proteins		HPA	20210914	20210914
5	HGNC:18149	A4GALT	A14GALT, Gb3S, P(k), P1	ENSG00000128274	Enzymes, Predicted membrane proteins		HPA	20210914	20210914
6	HGNC:17968	A4GNT	alpha4GnT	ENSG00000118017	Predicted intracellular proteins		HPA	20210914	20210914
7	HGNC:13666	AAAS		ENSG00000094914	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Disease mutation	HPA	20210914	20210914
8	HGNC:21298	AACS	ACSF1, FLJ12389, SUR-5	ENSG00000081760	Enzymes, Predicted membrane proteins		HPA	20210914	20210914
9	HGNC:17	AADAC	CES5A1, DAC	ENSG00000114771	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
10	HGNC:24427	AADACL2	MGC72001	ENSG00000197953	Predicted secreted proteins		HPA	20210914	20210914
11	HGNC:32037	AADACL3		ENSG00000188984	Predicted membrane proteins		HPA	20210914	20210914
12	HGNC:32038	AADACL4		ENSG00000204518	Predicted membrane proteins		HPA	20210914	20210914
13	HGNC:17929	AADAT	KAT2, KATII, KYAT2	ENSG00000109576	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
14	HGNC:16881	AAED1	C9orf21	ENSG00000158122	Predicted intracellular proteins		HPA	20210914	20210914
15	HGNC:25662	AAGAB	FLJ11506, p34	ENSG00000103591	Disease related genes, Predicted intracellular proteins	Palmoplantar keratoderma	HPA	20210914	20210914
16	HGNC:19679	AAK1	DKFZp686K16132, KIAA1048	ENSG00000115977	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
17	HGNC:30205	AAMDC	C11orf67, CK067, FLJ21035, PTD015	ENSG00000087884	Predicted intracellular proteins		HPA	20210914	20210914
